id	type	x	y	z	theta	gyokaku
1	spot	0	88.5	200.4983	30.15646	258.5581
2	spot	0	88.5	148.1143	47.38872	0
3	spot	0	88.5	135.1741	48.25033	0
4	spot	0	88.5	119.9637	51.69679	0
5	spot	0	88.5	107.8796	51.26598	0
6	spot	0	88.5	92.1768	49.54276	0
7	spot	0	88.5	163.0331	51.26598	0
8	spot	-30	88.5	48.68637	23.69436	174.5267
9	spot	-30	88.5	107.5599	24.12517	147.5936
13	spot	-30	88.5	117.0545	21.54033	174.5267
14	spot	-30	88.5	131.1469	21.10952	201.4598
15	spot	-30	88.5	154.1765	20.24791	187.4546
16	spot	-30	88.5	171.3232	22.9993	201.4598
