id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0.1541029,6.756936,-21.68556	0,0,0.9999682		11.40001
2	3	1		0.2975973,6.756936,-3.700726	0,0,0.9999682		11.40001
3	4	2		-4.102065,7.260726,9.556108	-0.4018337,0,0.9157127		6.750005
4	6	3		-6.825604,8.474747,31.26111	-0.8371738,0,0.546937		1.800005
6	7	4		-5.113606,9.695287,57.65967	0.4654306,0,0.8850844		-2.399994
7	8	6		-17.39188,10.17562,126.2245	0.9997272,0,-0.02335417		-4.199982
8	9	7		10.1525,10.28652,138.7331	0.999917,0,-0.01288271		-4.649994
9	10	8		9.749332,10.28652,107.4398	0.999917,0,-0.01288271		-4.649994
10	11	9		37.67754,8.179939,52.46518	0.9971037,0,0.07605416		2.85001
11	12	10		26.75702,8.098312,61.94078	-0.931618,0,-0.3634391		3.150012
12	13	11		-21.59496,6.793232,42.11338	-0.9991315,0,0.0416683		10.50002
13	14	12		-46.071,7.154095,46.27224	-0.9998283,0,-0.01853073		7.350017
14	15	13		-21.97378,7.260724,76.68098	-0.9936936,0,0.1121307		6.750017
15	16	14		-40.60187,9.132454,89.87921	-0.9995912,0,0.02859014		-0.4499817
16	17	15		-39.95434,9.132454,112.5196	-0.9995912,0,0.02859014		-0.4499817
17	18	16		-39.30679,9.132454,135.161	-0.9995912,0,0.02859014		-0.4499817
18	19	17		-38.65924,9.132454,157.8023	-0.9995912,0,0.02859014		-0.4499817
19	20	18		-38.08833,9.132454,177.7643	-0.9995912,0,0.02859014		-0.4499817
20	21	19		0.5713375,9.308273,160.7278	-0.9549596,0,-0.296736		-1.049988
21	22	20		-24.25317,8.098311,179.297	0.6209883,0,0.7838199		3.150017
22	23	21		-6.809344,8.5178,190.3737	0.1173354,0,0.9930924		1.650017
23	24	22		-5.289648,8.561735,217.6151	0,0,0.9999952		1.497618
24	25	23		-10.15057,8.648023,225.9343	0,0,0.9999852		1.2
25	26	24		-5.119799,11.15312,228.6656	0.1225337,0,0.9924644		-9.75
26	27	25		-0.632436,8.179942,216.4023	-0.1099364,0,0.9939386		2.85
27	28	26		12.06696,8.138963,221.3137	-0.02114568,0,0.9997764		3
28	-1	27		30.1602,7.036884,162.1813	-0.6026739,0,0.7979876		8.100003
